feature_base,shared_fwd_top_logits,shared_fwd_bottom_logits,shared_fwd_max_toks,shared_bwd_top_logits,shared_bwd_bottom_logits,shared_bwd_max_toks
3174,6,0,2,7,0,1
5555,5,3,2,8,5,2
2908,8,5,8,8,4,6
1294,7,3,5,5,3,3
5226,7,8,2,7,3,2
3143,10,0,8,9,5,5
3772,6,0,1,7,1,1
3092,9,5,2,6,1,2
5734,9,3,2,7,4,2
4217,7,4,2,3,2,2
466,9,0,3,9,6,3
3286,7,0,1,9,6,3
2378,9,0,4,3,3,3
1482,8,0,3,5,5,3
87,0,0,3,6,2,2
1396,7,0,1,6,3,1
5219,1,0,1,2,0,1
871,10,4,4,7,5,2
3735,10,6,1,9,7,1
130,1,3,5,1,4,5
3733,0,0,6,0,2,6
3380,1,0,0,2,0,1
769,6,2,0,2,0,4
4439,7,0,1,7,1,1
3563,9,6,7,9,1,4
5533,6,0,7,9,1,4
4901,0,4,3,7,0,2
2433,8,0,2,7,1,3
5311,2,7,3,1,1,3
955,7,0,4,6,3,0
276,7,4,7,5,2,5
5280,8,0,1,5,2,1
4555,1,1,3,4,1,2
3385,7,0,5,6,3,2
2069,9,0,3,8,5,4
4348,8,0,4,6,1,2
2795,7,0,1,7,5,1
4952,4,2,1,0,2,1
5680,0,0,0,4,2,2
474,7,0,3,5,0,1
1082,0,0,1,3,1,1
510,9,3,5,4,3,4
1705,5,0,7,2,0,4
4095,10,0,8,10,5,7
5595,3,0,3,5,4,3
2747,3,4,4,3,5,3
3023,3,5,3,3,2,3
5902,7,0,3,3,1,4
189,0,2,0,4,1,0
3005,0,6,4,0,0,4
4782,0,1,3,8,1,3
957,0,6,1,0,0,1
562,0,4,2,7,1,0
1899,2,0,2,3,3,2
5686,10,0,4,9,5,1
1267,7,0,5,7,2,3
4927,0,0,3,0,3,1
5624,0,2,0,6,2,0
1154,0,0,2,4,2,0
5604,6,2,1,7,3,1
3890,8,0,2,7,4,3
2694,0,0,3,2,0,2
20,8,0,7,8,3,5
4936,0,5,2,4,2,2
2214,2,0,1,1,1,1
5393,6,0,5,2,3,2
387,7,0,1,8,3,1
4696,8,0,5,6,6,4
4411,7,0,2,5,6,5
13,9,8,6,8,5,1
4337,5,0,1,7,1,1
4089,7,0,3,5,4,2
2824,8,0,2,7,2,1
1369,6,1,5,9,2,4
4660,8,0,1,7,3,1
2945,6,0,1,6,1,2
3411,0,0,0,0,0,0
91,0,2,3,2,0,5
5486,0,1,1,1,2,2
5051,8,0,2,7,4,4
5574,6,3,4,0,2,5
3499,0,0,3,0,1,4
4604,0,1,4,3,2,2
2823,6,4,2,0,2,1
1966,6,5,2,2,2,2
4130,8,0,4,4,0,2
205,0,0,1,0,0,1
1104,1,0,2,6,2,2
1955,0,7,1,0,0,1
1585,5,7,2,4,6,3
3943,7,0,5,2,5,4
5507,9,3,5,7,0,4
5121,7,1,7,5,2,4
3069,9,0,3,5,1,4
5509,10,0,6,3,0,6
4661,0,0,2,1,4,3
1129,5,0,6,5,0,3
1795,8,0,2,0,3,2
3893,8,0,6,7,5,7
3548,8,0,3,8,4,2
4798,1,0,6,4,1,6
4497,8,0,4,8,4,6
729,8,0,5,5,4,6
5675,2,0,2,6,0,1
2209,5,0,3,5,7,0
201,9,0,2,6,3,2
4029,8,0,2,6,4,1
3043,7,0,2,7,3,2
2317,7,0,1,5,2,1
5982,5,0,5,5,2,3
4911,6,0,1,6,6,2
3342,8,1,7,9,3,7
4551,8,0,3,8,3,2
1485,9,6,3,7,7,3
5846,8,0,6,8,1,6
3323,4,3,2,5,1,3
1016,4,2,4,4,3,3
5821,6,0,2,3,1,2
2343,0,2,2,8,3,3
5844,6,3,7,5,8,5
719,0,2,2,0,6,0
3820,0,0,3,0,2,2
4433,7,3,3,0,2,1
878,0,4,7,5,1,5
3124,8,0,5,7,1,3
4887,7,1,2,6,2,2
3993,6,0,7,6,3,4
2264,9,0,7,5,0,5
2811,10,0,6,10,5,4
4283,4,0,3,1,1,3
379,1,2,6,4,3,4
2540,6,0,6,5,0,6
1064,0,5,3,6,1,3
1180,0,1,2,6,4,2
2062,0,4,1,2,2,0
5932,3,0,3,3,1,2
4160,2,0,2,3,2,1
3928,8,0,4,4,0,4
5958,8,0,1,7,5,1
520,5,9,2,0,5,3
1367,6,0,2,5,2,2
1152,7,2,8,7,3,6
2027,1,6,2,2,1,1
647,9,3,5,7,5,4
1495,6,0,3,3,4,1
3134,4,0,2,1,1,2
5258,0,3,6,0,0,6
5618,5,0,1,7,4,1
592,9,0,2,3,3,4
391,2,0,5,4,3,6
5794,2,0,0,0,0,1
4514,9,0,2,7,4,2
288,0,3,1,6,4,1
4474,7,0,4,5,2,3
5892,6,0,7,4,0,4
1513,0,0,0,1,0,1
4326,6,0,1,6,0,1
5113,4,2,0,0,0,0
2088,7,8,4,5,6,3
1051,0,0,1,4,1,1
134,5,0,4,2,1,3
200,8,0,5,6,4,3
5959,9,0,6,8,9,2
4875,8,1,7,5,3,5
2977,8,0,4,1,0,4
3104,2,0,6,6,4,2
3119,7,1,2,8,2,2
4598,8,1,2,5,7,3
2454,9,0,1,9,3,1
5693,6,1,1,0,4,2
3799,6,6,6,6,6,2
2852,8,0,7,8,3,7
4194,0,1,2,4,0,1
683,9,0,6,9,6,3
5991,8,0,4,6,5,1
2773,3,0,0,0,0,0
4058,8,0,2,6,3,2
3618,9,0,2,9,2,2
960,0,7,6,5,3,4
1762,8,3,3,8,0,2
2660,8,3,7,8,5,4
6062,7,1,3,4,0,3
4738,7,0,2,8,3,2
1792,5,3,3,0,0,2
3076,3,0,6,1,2,7
1241,9,0,3,10,2,2
2550,3,0,3,4,2,1
766,3,1,3,5,3,3
4493,8,4,1,8,7,2
870,9,0,2,10,4,2
794,10,0,3,10,2,3
4488,0,5,3,0,1,1
2254,6,0,4,4,2,4
5134,9,0,1,9,0,2
1881,0,0,2,0,2,4
1577,0,3,8,2,0,7
2939,6,0,1,7,1,3
3532,0,4,3,8,3,3
5810,8,0,3,9,6,3
3646,8,0,2,7,2,2
863,7,0,6,7,1,5
742,7,0,4,6,3,3
5360,3,5,1,0,1,1
4659,3,1,4,0,2,3
1020,0,0,0,1,5,0
4191,6,6,0,7,3,1
6019,6,0,5,6,3,5
5853,6,0,6,6,3,4
4580,0,6,2,1,0,1
5526,4,1,3,3,1,2
2278,9,0,2,10,5,2
